Ingredient,Amount,Unit,Description
"Pumpkin puree",240,g,"1 cup"
"Egg whites",300,g,"1.25 cup"
"Vanilla extract",5,g,"1 tsp"
"Almond extract",5,g,"1 tsp"
"Liquid monk fruit",5,g,"1 tsp"
"Cinnamon",5,g,"2 tsp"
"Baking powder",3,g,"1/2 tsp"
"Salt",1.5,g,"1/4 tsp"
"Ginger, ground",0.75,g,"1/4 tsp"
"Nutmeg, ground",0.75,g,"1/4 tsp"
"Creatine Monohydrate",5,g,"1 scoop"
"Magnesium Glycinate",1.8,g,"1 scoop"
"Coconut flour",15,g,"2 tbsp"
"Almond flour",14,g,"2 tbsp"
"Ground flaxseed",13,g,"2 tbsp"
"Casein protein powder, unflavored",10,g,"1/3 scoop"
"Psyllium husks, whole",10,g,"2 tbsp"
"Cocoa powder",10,g,"2 tbsp"
Servings,1
