Ingredient,Amount,Unit,Description
"Bell pepper",148,g,"2 small"
"Onion",140,g,"2 small"
"Frozen broccoli, thawed",454,g,"1 pound"
"Boneless skinless chicken thighs",907,g,"2 pound"
"Diced tomatoes",411,g,"14.5oz can"
"Pinto Beans, drained and rinsed",554,g,"2 15.5oz cans"
"Water",237,g,"1 cup"
"Salsa",112,g,"1/2 cup"
"Hot sauce",75,g,"5 tbsp"
"Low sodium soy sauce",43,g,"3 tbsp"
"Minced garlic",45,g,"3 tbsp"
"Lemon juice",30,g,"2 tbsp"
"Balsamic vinegar",32,g,"2 tbsp"
"Paprika",7,g,"1 tbsp"
"Chili powder",8,g,"1 tbsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Oregano, dried",2,g,"2 tsp"
"Basil, dried",1,g,"2 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Cinnamon",1,g,"1/4 tsp"
Servings,8
