Ingredient,    Amount,    Unit,    Description
"Extra virgin olive oil",28,g,"2 tbsp"
"Onion",70,g,"1 small"
"Minced garlic",25,g,"5 tsp"
"Salt",6,g,"1 tsp"
"Bell pepper",74,g,"1 small"
"Crushed tomatoes",1588,g,"2 28oz cans"
"Basil, dried",6,g,"9 tsp, leaves"
"Garlic powder",9,g,"3 tsp"
"Onion powder",7,g,"3 tsp"
"Black pepper, ground",2,g,"1 tsp, ground"
"Zucchini",196,g,"1 medium"
"Summer squash, raw, yellow",200,g,"1 whole"
"Eggplant",548,g,"1 eggplant, unpeeled (approx 1-1/4 lb)"
"Tomato",180,g,"3 Italian tomato"
Servings,    4
