Ingredient,    Amount,    Unit,    Description
"Frozen broccoli, thawed",907,g,"2 pound"
"White cooking wine",60,g,"4 tbsp"
"Salsa",56,g,"4 tbsp"
"Hot sauce",45,g,"3 tbsp"
"Minced garlic",30,g,"2 tbsp"
"Lime juice",15,g,"1 tbsp"
"Chili powder",5,g,"2 tsp"
"Paprika",5,g,"2 tsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Thyme, dried",1,g,"1 tsp, leaves"
"Salt",5,g,"0.75 tsp"
"Black pepper, ground",1,g,"0.5 tsp, ground"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
Servings,    10
