Ingredient,    Amount,    Unit,    Description
"Ground chicken thighs",454,g,"1 pound"
"Sweet potato",133,g,"1 medium"
"Onion",70,g,"1 small"
"Large egg",50,g,"1 egg"
"Casein protein powder, unflavored",19,g,"2/3 scoop"
"Minced garlic",15,g,"3 tsp"
"Hot sauce",15,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Paprika",2,g,"1 tsp"
"Chili powder",3,g,"1 tsp"
"Onion powder",2,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Cayenne pepper",1,g,"0.5 tsp"
"Honey",11,g,"0.5 tbsp"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
Servings,    38
