Ingredient,Amount,Unit,Description
"Onion",140,g,"2 small"
"Minced garlic",20,g,"4 tsp"
"Salt",2,g,"1/4 tsp"
"Extra virgin olive oil",7,g,"1/2 tbsp"
"Diced tomatoes",411,g,"14.5 ounce"
"Diced green chiles",113,g,"4 ounce"
"Chickpeas, drained and rinsed",506,g,"2 15.5oz cans"
"Paprika",5,g,"2 tsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Lemon juice",15,g,"1 tbsp"
"Red pepper flakes",1,g,"1/2 tsp"
"Whole wheat tortilla",225,g,"5 medium"
Servings,5
