Ingredient,    Amount,    Unit,    Description
"Oat flour",120,g,"1.33 cup"
"Casein protein powder, unflavored",30,g,"1 scoop"
"Whey protein powder, unflavored",30,g,"1 scoop"
"Baking powder",2,g,"0.5 tsp"
"Cinnamon",1,g,"0.5 tsp"
"Salt",2,g,"0.25 tsp"
"Baking soda",1,g,"0.25 tsp"
"Ginger, ground",0,g,"0.25 tsp"
"Nonfat cottage cheese",113,g,"0.5 cup"
"Apple, gala",109,g,"1 cup, small"
"Large egg",151,g,"3 egg"
"Vanilla extract",2,g,"0.5 tsp"
"Liquid stevia or monk fruit",5,g,"1 tsp"
Servings,    10
