Ingredient,    Amount,    Unit,    Description
"Extra virgin olive oil",7,g,"0.5 tbsp"
"Onion",280,g,"4 small"
"Salt",6,g,"1 tsp"
"Tomato",240,g,"4 Italian tomato"
"Chili powder",19,g,"7 tsp"
"Paprika",14,g,"6 tsp"
"Onion powder",10,g,"4 tsp"
"Garlic powder",12,g,"4 tsp"
"Cumin, ground",2,g,"0.75 tsp"
"Lemon pepper",8,g,"3 tsp"
"Black pepper, ground",5,g,"2 tsp, ground"
"Cayenne pepper",2,g,"1 tsp"
"Frozen spinach, thawed",907,g,"2 pound"
"Salsa",112,g,"1/2 cup"
"Lemon juice",30,g,"2 tbsp"
"Minced garlic",30,g,"2 tbsp"
Servings,    8
