Ingredient,    Amount,    Unit,    Description
"Quick oats",40,g,"0.5 cup"
"Chia seeds",11,g,"1 tbsp"
"Casein protein powder, unflavored",15,g,"0.5 scoop"
"Salt",0,g,"1 dash"
"Liquid stevia or monk fruit",1,g,"0.25 tsp"
"Plain nonfat greek yogurt",153,g,"2/3 cup"
"Unsweetened vanilla almond milk",79,g,"0.33 cup"
"Banana, overripe",110,g,"1 Banana"
"Powdered peanut butter",12,g,"2 tbsp"
"Almond extract",1,g,"0.25 tsp"
Servings,    1
