Ingredient,Amount,Unit,Description
"Sweet potato",260,g,"2 medium"
"Extra virgin olive oil",5,g,"1 tsp"
"Low sodium soy sauce",5,g,"1 tsp"
"Baking soda",1,g,"1/4 tsp"
"Paprika",2,g,"1 tsp"
"Chili powder",3,g,"1 tsp"
"Onion powder",2,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Salt",2,g,"1/4 tsp"
"Cayenne pepper",0,g,"1/4 tsp"
"Shredded cheddar cheese",56,g,"1/2 cup"
"Cornstarch",3,g,"1 tsp"
"Unsweetened almond milk",61,g,"1/4 cup"
"Ground beef, 93/7",454,g,"1 pound"
"Extra virgin olive oil",7,g,"1/2 tbsp"
"Low sodium soy sauce",9,g,"2 tsp"
"Paprika",5,g,"2 tsp"
"Garlic powder",2,g,"1 tsp"
"Onion powder",4,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Cayenne pepper",1,g,"1/4 tsp"
"Romaine lettuce",752,g,"2 head"
"Tomato",240,g,"4 Italian tomato"
"Onion",70,g,"1 small"
"Pickles",28,g,"4 slice"
Servings,4
