Ingredient,Amount,Unit,Description
"Ground turkey, 93/7",589,g,"1.3 lb"
"Unsweetened BBQ sauce",60,g,"1/4 cup"
"Large egg",50,g,"1 egg"
"Oat flour",90,g,"1 cup"
"Onion",70,g,"1 small"
"Grated parmesan cheese",45,g,"6 tbsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Chili powder",5,g,"2 tsp"
"Paprika",5,g,"2 tsp"
"Frozen broccoli, thawed",907,g,"2 pound"
"Lemon juice",30,g,"2 tbsp"
"Minced garlic",30,g,"2 tbsp"
"Extra virgin olive oil",14,g,"1 tbsp"
"Lemon pepper",8,g,"1 tbsp"
"Garlic powder",6,g,"1 tbsp"
"Onion powder",7,g,"1 tbsp"
Servings,6
