Ingredient,    Amount,    Unit,    Description
"Boneless skinless chicken breast",907,g,"2 pound"
"Extra virgin olive oil",9,g,"2 tsp"
"Paprika",7,g,"3 tsp"
"Garlic powder",9,g,"3 tsp"
"Onion powder",7,g,"3 tsp"
"Black pepper, ground",2,g,"1 tsp, ground"
"Salt",3,g,"0.5 tsp"
"Sweet potato",665,g,"5 medium"
"Onion",140,g,"2 small"
"Bell pepper",148,g,"2 small"
"White Mushrooms",340,g,"12 ounce"
"Extra virgin olive oil",9,g,"2 tsp"
"Water",356,g,"1.5 cup"
"Chicken bouillon powder",6,g,"1.5 tsp"
"Crushed tomatoes",794,g,"28oz can"
"Thyme, dried",2,g,"2 tsp, leaves"
Servings,    5
