Ingredient,    Amount,    Unit,    Description
"Banana, overripe",330,g,"3 Banana"
"Natural peanut butter",96,g,"6 tbsp"
"Vanilla extract",4,g,"1 tsp"
"Almond extract",5,g,"1 tsp"
"Liquid stevia or monk fruit",5,g,"1 tsp"
"Cinnamon",1,g,"0.5 tsp"
"Salt",0,g,"1 dash"
"Cocoa powder",27,g,"5 tbsp"
"Whey protein powder, unflavored",90,g,"3 scoops"
"Casein protein powder, unflavored",87,g,"3 scoops"
"Quick oats",120,g,"1.5 cup"
"Frozen overripe bananas",345,g,"3 Banana"
"Frozen blueberries",280,g,"2 cup, frozen"
"Powdered peanut butter",60,g,"10 tbsp"
Servings,    12
