Ingredient,    Amount,    Unit,    Description
"Peanuts",227,g,"1.5 cup"
"Salt",3,g,"1/2 tsp"
"Extra virgin coconut oil",14,g,"1 tbsp"
"Granular sweetener: sugar, erythritol, stevia, etc.",15,g,"1 tbsp"
Servings,    8
