Ingredient,    Amount,    Unit,    Description
"Cucumber",104,g,"1 cup slices"
"Salt",2,g,"0.25 tsp"
"Plain nonfat greek yogurt",245,g,"1 cup"
"Lemon juice",15,g,"1 tbsp"
"Minced garlic",15,g,"3 tsp"
"Lemon pepper",3,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Onion powder",2,g,"1 tsp"
"Frozen brussel sprouts, thawed",907,g,"2 pound"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
"Garlic powder",4,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Salt",3,g,"0.5 tsp"
"Black pepper, ground",1,g,"0.5 tsp, ground"
"Lemon juice",15,g,"3 tsp"
"Salmon",454,g,"16 ounce"
"Lemon juice",30,g,"2 tbsp"
"Lemon pepper",6,g,"2 tsp"
"Garlic powder",4,g,"1 tsp"
"Onion powder",4,g,"1 tsp"
Servings,    4
