Ingredient,Amount,Unit,Description
"Extra virgin olive oil",15,g,"1 tbsp"
"Onion",150,g,"1 large"
"Carrots",300,g,"3 medium"
"Minced garlic",30,g,"2 tbsp"
"Vegetable broth",960,g,"4 cup"
"Dijon mustard",15,g,"1 tbsp"
"Garlic powder",20,g,"2 tbsp"
"Onion powder",20,g,"2 tbsp"
"Black pepper, ground",10,g,"1 tbsp"
"Turmeric, ground",1.5,g,"1/2 tsp"
"Nutmeg, ground",1.5,g,"1/2 tsp"
"Red pepper flakes",0.5,g,"1/2 tsp"
"Frozen broccoli, thawed",908,g,"2 lb"
"Plain nonfat greek yogurt",226,g,"1 cup"
"Shredded cheddar cheese",226,g,"2 cup"
Servings,4
