Ingredient,Amount,Unit,Description
"Ground turkey, 93/7",453,g,"1 lb"
"Casein protein powder, unflavored",30,g,"1 scoop"
"Large egg",50,g,"1 egg"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Chili powder",5,g,"2 tsp"
"Paprika",5,g,"2 tsp"
"Black pepper, ground",2,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Zucchini",588,g,"3 medium"
"Extra virgin olive oil",14,g,"1 tbsp"
"Onion powder",4,g,"1 tsp"
"Garlic powder",2,g,"1 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Salt",3,g,"1/2 tsp"
"Crushed tomatoes",227,g,"1 cup"
Servings,4
