Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 lb"
"Plain nonfat greek yogurt",61,g,"1/4 cup"
"Extra virgin olive oil",14,g,"1 tbsp"
"Minced garlic",15,g,"1 tbsp"
"Cumin, ground",10,g,"1 tbsp"
"Paprika",7,g,"1 tbsp"
"Turmeric, ground",6,g,"2 tsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Ginger, ground",2,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Cayenne pepper",1,g,"1/2 tsp"
"Sweet potato",665,g,"5 medium"
"Salsa",42,g,"3 tbsp"
"Hot sauce",45,g,"3 tbsp"
"Extra virgin olive oil",14,g,"1 tbsp"
"Minced garlic",30,g,"2 tbsp"
"Grated parmesan cheese",15,g,"2 tbsp"
"Chili powder",5,g,"2 tsp"
"Black pepper, ground",2,g,"1 tsp"
"Onion powder",2,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
Servings,6
