Ingredient,Amount,Unit,Description
"Extra virgin olive oil",15,g,"1 tbsp"
"Onion",500,g,"4 medium"
"Bell pepper",500,g,"4 medium"
"Minced garlic",30,g,"2 tbsp"
"Chili powder",40,g,"1/4 cup"
"Cilantro, dried",12,g,"1/4 cup"
"Cumin, ground",10,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Cayenne pepper",1.5,g,"1/2 tsp"
"Frozen corn",136,g,"1 cup"
"Chickpeas, drained and rinsed",506,g,"2 x 15.5 oz can"
"Broth",960,g,"4 cup"
"Simple Shredded Chicken",454,g,"16 oz"
"Plain nonfat greek yogurt",454,g,"2 cup"
"Lime juice",60,g,"1/4 cup"
Servings,6
