Ingredient,Amount,Unit,Description
"Sweet potato, unprepared, raw",200,g,"1 medium"
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"15.5oz can"
"Almond butter by JUSTIN'S",32,g,"2 tbsp"
"Vinegar, balsamic",32,g,"2 tbsp"
"Minced garlic by STONEMILL",30,g,"2 tbsp"
"Lemon pepper by SHURFINE",1,g,"1/2 tsp"
"Spices, ground, cinnamon",1,g,"1/4 tsp"
"Spices, ground, ginger",0,g,"1/4 tsp"
"Spices, ground, turmeric",1,g,"1/4 tsp"
"Spices, red or cayenne, pepper",0,g,"1/8 tsp"
Servings,14
