Ingredient,Amount,Unit,Description
"Molasses",320,g,"1 cup"
"Water",180,g,"3/4 cup, hot"
"Egg",50,g,"1 large"
"Baking soda",4.5,g,"3/4 tsp"
"Healthier Graham Cracker Pie Crust",255,g,"1 batch, 9 oz"
"Aquafaba Whipped Cream",123,g,"1/2 batch, about 3 cup"
Servings,8
