Category,Name,File,Vol,Mass,URL,Choline,Cholesterol,Phosphorus,Calcium,Vitamin C,Vitamin B12,Sodium,Potassium,Magnesium,Fiber,Iron
meat,Bacon,bacon,4 oz,113,https://www.nutritionvalue.org/Pork%2C_unprepared%2C_bacon%2C_cured_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
meat,Beef Liver,liver,4 oz,113,https://www.nutritionvalue.org/Beef%2C_raw%2C_liver%2C_variety_meats_and_by-products_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
meat,Bologna,bologna,1 slice,30,https://www.nutritionvalue.org/Bologna%2C_beef_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Chicken Breast<br>(Boneless & Skinless),chicken-breast,4 oz,113,https://www.nutritionvalue.org/Chicken%2C_raw%2C_meat_only%2C_boneless%2C_skinless%2C_breast%2C_broiler_or_fryers_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
meat,Chicken Liver,chicken-liver,4 oz,113,https://www.nutritionvalue.org/Chicken%2C_raw%2C_all_classes%2C_liver_nutritional_value.html?size=100%20g,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Chicken Thighs<br>(Boneless & Skinless),chicken-thighs,4 oz,113,https://www.nutritionvalue.org/Chicken%2C_raw%2C_meat_only%2C_thigh%2C_dark_meat%2C_broilers_or_fryers_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
meat,Eggs,eggs,1 egg,50,https://www.nutritionvalue.org/Eggs%2C_egg_whole%2C_Large%2C_Grade_A_748967_nutritional_value.html?size=100+g,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
meat,Egg Whites,egg-whites,3 tbsp,46,https://www.nutritionvalue.org/Egg%2C_fresh%2C_raw%2C_white_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Ground Beef<br>(93% Lean),ground-beef,4 oz,113,https://www.nutritionvalue.org/Beef%2C_raw%2C_93%25_lean_meat_%252F_7%25_fat%2C_ground_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
meat,Ground Turkey<br>(93% Lean),ground-turkey,4 oz,113,https://www.nutritionvalue.org/Turkey%2C_raw%2C_7%25_fat%2C_93%25_lean%2C_ground_nutritional_value.html?size=100+g,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
meat,Ham,ham,4 oz,113,https://www.nutritionvalue.org/Pork%2C_raw%2C_separable_lean_only%2C_whole%2C_leg_%28ham%29%2C_fresh_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
meat,Hot Dogs,hot-dogs,1 hot dog,57,https://www.nutritionvalue.org/Hot_dog%2C_beef_25210210_nutritional_value.html?size=100+g,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meat,Human,human,4 oz,113,https://www.highlandernews.org/wp-content/uploads/2016/02/ops.meme_.nba_.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
