Ingredient,Amount,Unit,Description
"Red lentil pasta",249,g,"8.8 ounce"
"Extra virgin olive oil",5,g,"1 tsp"
"Onion",220,g,"2 medium"
"Salt",6,g,"1 tsp"
"Ground turkey, 93/7",590,g,"1.3 lb"
"Chili powder",10,g,"1 tbsp"
"Black pepper, ground",3,g,"1 tsp"
"Nonfat cottage cheese",226,g,"8 oz"
"Shredded cheddar cheese",140,g,"1.25 cup"
"Skim milk",240,g,"1 cup"
"Nutritional yeast",20,g,"4 tbsp"
"Cornstarch",12,g,"1.5 tbsp"
"Paprika",10,g,"1 tbsp"
"Garlic powder",4.5,g,"1/2 tbsp"
"Onion powder",4.5,g,"1/2 tbsp"
"Date sweetened ketchup",60,g,"1/4 cup"
"Shredded cheddar cheese",28,g,"1/4 cup"
Servings,6
