Ingredient,Amount,Unit,Description
"Coconut flour",42,g,"6 tbsp"
"Whey protein powder, unflavored",22.5,g,"3/4 scoop"
"Baking powder",7.2,g,"1/2 tbsp"
"Garlic powder",2.25,g,"3/4 tsp"
"Onion powder",2.25,g,"3/4 tsp"
"Salt",2.25,g,"3/8 tsp"
"Egg",150,g,"3 large"
"Shredded mozzarella cheese, low moisture part skim",84,g,"3/4 cup"
"Apple cider vinegar",3.75,g,"3/4 tsp"
"Unsweetened applesauce",45,g,"3 tbsp"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Everything bagel seasoning",6,g,"2 tsp"
Servings,6
