Ingredient,Amount,Unit,Description
"Onion",70,g,"1 medium"
"Chickpeas, drained and rinsed",253,g,"15.5oz can"
"Kidney beans, drained and rinsed",266,g,"15.5oz can"
"Black beans, drained and rinsed",277,g,"15.5oz can"
"Tomato",180,g,"3 medium"
"Bell pepper",74,g,"1 medium"
"Feta cheese",50,g,"1/3 cup"
"Extra virgin olive oil",28,g,"2 tbsp"
"Lemon juice",30,g,"2 tbsp"
"Balsamic vinegar",16,g,"1 tbsp"
"Apple cider vinegar",15,g,"1 tbsp"
"Dijon mustard",15,g,"1 tbsp"
"Minced garlic",15,g,"1 tbsp"
"Basil, dried",2,g,"1 tbsp"
"Thyme, dried",3,g,"1 tbsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Salt",1.5,g,"1/4 tsp"
Servings,6
