Ingredient,Amount,Unit,Description
"Cucumber",104,g,"1 cup slices"
"Salt",1.5,g,"1/4 tsp"
"Plain nonfat greek yogurt",226,g,"1 cup"
"Lemon juice",15,g,"1 tbsp"
"Minced garlic",15,g,"1 tbsp"
"Lemon pepper",4,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Onion powder",3,g,"1 tsp"
"Frozen brussel sprouts, thawed",907,g,"2 lb"
"Extra virgin olive oil",15,g,"1 tbsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",6,g,"2 tsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Lemon juice",15,g,"1 tbsp"
"Salmon",454,g,"1 lb"
"Lemon juice",30,g,"2 tbsp"
"Lemon pepper",8,g,"2 tsp"
"Garlic powder",3,g,"1 tsp"
"Onion powder",3,g,"1 tsp"
Servings,4
