Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 lb"
"Extra virgin olive oil",14,g,"1 tbsp"
"Balsamic vinegar",16,g,"1 tbsp"
"Basil, dried",2,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Tomato",300,g,"5 medium"
"Balsamic vinegar",60,g,"1/4 cup"
"Minced garlic",20,g,"4 tsp"
"Basil, dried",2,g,"1 tbsp"
"Shredded mozzarella cheese",56,g,"1/2 cup"
"Artichokes",794,g,"2x14oz cans"
"Balsamic vinegar",30,g,"2 tbsp "
"Minced garlic",30,g,"2 tbsp"
"Extra virgin olive oil",14,g,"1 tbsp"
"Lightly dried basil by Eyebobs, LLC ",4,g,"2 tbsp"
"Garlic powder",6,g,"1 tbsp"
"Lemon pepper",6,g,"2 tsp"
Servings,5
