Ingredient,Amount,Unit,Description
"Organic oat flour by The Hain Celestial Group, Inc.",120,g,"1.32 cup"
"Unflavored Casein Protein Powder by PROMIX",29,g,"1 serving"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",29,g,"1 scoop | about"
"Baking powder by The Kroger Co.",2,g,"0.5 tsp"
"Spices, ground, cinnamon",1,g,"0.5 tsp"
"Salt, table",2,g,"0.25 tsp"
"Leavening agents, baking soda",1,g,"0.25 tsp"
"Spices, ground, ginger",0,g,"0.25 tsp"
"Nonfat cottage cheese by FRESH & EASY",113,g,"0.5 cup"
"Apples, with skin, gala, raw",109,g,"1 cup, sliced"
"Eggs, egg whole, Large, Grade A",151,g,"3 egg"
"Vanilla extract",2,g,"0.5 tsp"
"Sugar substitute, liquid, stevia",5,g,"1 teaspoon"
Servings,10
