Ingredient,Amount,Unit,Description
"Organic pumpkin puree by Pacific Foods of Oregon, Inc.",308,g,"1.25 cup"
"Cereals, Dry, Quick Oats, QUAKER",80,g,"1 cup"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",58,g,"2 scoop | about"
"Peanut butter powder by PBFIT",60,g,"10 tbsp"
"Chia seeds by GREENWISE",32,g,"3 tbsp"
"Natural peanut butter by HAMPTON FARMS",32,g,"2 tbsp"
"Baking powder by The Kroger Co.",10,g,"2 tsp"
"Spices, ground, cinnamon",5,g,"2 tsp"
"Sugar substitute, liquid, stevia",5,g,"1 teaspoon"
"Spices, ground, ginger",2,g,"1 tsp"
"Spices, ground, nutmeg",1,g,"0.5 tsp"
"Leavening agents, baking soda",2,g,"0.5 tsp"
"Water, generic, bottled",237,g,"1 cup"
Servings,13
