Ingredient,Amount,Unit,Description
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",508,g,"2x15.5oz cans"
"Onions, raw",70,g,"1 small"
"Minced garlic by STONEMILL",45,g,"3 tbsp"
"Cumin ground by ROUNDY'S",6,g,"2 tsp"
"Spices, paprika",5,g,"2 tsp"
"Spices, black, pepper",1,g,"1/2 tsp, ground"
"Salt, table",2,g,"1/4 tsp"
"Almond butter by JUSTIN'S",32,g,"2 tbsp"
"Sweet potato, mashed, canned",128,g,"1/2 cup"
"Hot sauce by LOUISIANA",45,g,"3 tbsp"
"Cilantro, raw",40,g,"2.5 cup"
Servings,36
