Ingredient,Amount,Unit,Description
"Pineapple, all varieties, raw",248,g,"1.5 cup, chunks"
"Mangos, raw",248,g,"1.5 cup pieces"
"Onions, raw",70,g,"1 small"
"Italian dressing, fat free",116,g,"0.5 cup"
"Hot sauce by LOUISIANA",45,g,"9 tsp (5.0 ml) aprx"
"Lime juice from concentrate by Safeway, Inc.",45,g,"9 tsp (5.0 ml) aprx"
"Cilantro lightly dried by MCCORMICK & COMPANY, INC.",2,g,"3 tsp"
"Spices, dried, thyme",1,g,"1 tsp, leaves"
"Spices, ground, allspice",1,g,"0.5 tsp"
"Spices, ground, nutmeg",1,g,"0.25 tsp"
"Spices, ground, cinnamon",1,g,"0.25 tsp"
Servings,8
