Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 lb"
"Extra virgin olive oil",14,g,"1 tbsp"
"Onion powder",7,g,"1 tbsp"
"Garlic powder",9,g,"1 tbsp"
"Paprika",7,g,"1 tbsp"
"Chili powder",5,g,"2 tsp"
"Salt",6,g,"1 tsp"
"Thyme, dried",1,g,"1 tsp"
"Onion",70,g,"1 medium"
"Cucumber",200,g,"1 regular"
"Tomato",180,g,"3 medium"
"Romaine lettuce",539,g,"1 head"
"Artichokes",397,g,"14oz can drained"
"Chickpeas, drained and rinsed",253,g,"15.5oz can"
"Roasted red peppers",454,g,"16oz jar drained"
"Feta cheese",150,g,"1 cup"
Servings,6
