Ingredient,Amount,Unit,Description
"Bell pepper",240,g,"2 medium"
"Onion",220,g,"2 medium"
"Frozen broccoli, thawed",680,g,"1.5 lb"
"Boneless skinless chicken thighs",907,g,"2 lb"
"Beans, drained and rinsed",554,g,"2x15.5oz cans"
"Diced tomatoes",411,g,"14.5oz can"
"Water",240,g,"1 cup"
"Salsa",120,g,"1/2 cup"
"Hot sauce",75,g,"5 tbsp"
"Soy sauce, low sodium, gluten free",45,g,"3 tbsp"
"Minced garlic",45,g,"3 tbsp"
"Lemon juice",30,g,"2 tbsp"
"Balsamic vinegar",30,g,"2 tbsp"
"Paprika",10,g,"1 tbsp"
"Chili powder",10,g,"1 tbsp"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",10,g,"1 tbsp"
"Oregano, dried",3,g,"1 tbsp"
"Basil, dried",3,g,"1 tbsp"
"Black pepper, ground",3,g,"1 tsp"
"Cinnamon",0.75,g,"1/4 tsp"
Servings,6
