Ingredient,Amount,Unit,Description
"Almond butter",64,g,"1/4 cup"
"Granulated monk fruit",100,g,"1/2 cup"
"Unsweetened applesauce",60,g,"1/4 cup"
"Plain nonfat greek yogurt",56,g,"1/4 cup"
"Unsweetened almond milk",30,g,"2 tbsp"
"Egg",100,g,"2 large"
"Almond extract",5,g,"1 tsp"
"Baking powder",6,g,"1 tsp"
"Salt",1.5,g,"1/4 tsp"
"Rolled oats",120,g,"1 1/2 cup"
"Low sugar berry jam",152,g,"1/2 cup"
"Extra virgin coconut oil",56,g,"1/4 cup"
"Cocoa powder",50,g,"1/2 cup + 2 tbsp"
"Liquid monk fruit",5,g,"1 tsp"
Servings,36
