Ingredient,Amount,Unit,Description
"Garlic, raw",66,g,"2 heads"
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",254,g,"15.5oz can"
"Lemon juice from concentrate, REAL LEMON, bottled",60,g,"4 tbsp"
"Almond butter by JUSTIN'S",32,g,"2 tbsp"
"Nutritional yeast superfoods by FOODS ALIVE",20,g,"4 tbsp"
"Cumin ground by ROUNDY'S",3,g,"1 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, onion powder",1,g,"1/2 tsp"
"Spices, black, pepper",1,g,"1/2 tsp, ground"
"Salt, table",2,g,"1/4 tsp"
Servings,14
