Ingredient,Amount,Unit,Description
"Kale, unprepared, frozen",454,g,"1 pound"
"Onions, raw",140,g,"2 small"
"Extra virgin olive oil by QO",14,g,"1 tbsp (15.0 ml) aprx"
"Minced garlic by STONEMILL",30,g,"2 tbsp"
"Spices, chili powder",4,g,"1.5 tsp"
"Cumin ground by ROUNDY'S",5,g,"1.5 tsp"
"Spices, paprika",3,g,"1.5 tsp"
"Salt, table",3,g,"0.5 tsp"
"Beans, drained solids, canned, pinto",554,g,"2 15.5oz"
"Organic and unsweetened classic bbq sauce, unsweetened, classic by PRIMAL KITCHEN",78,g,"5 tbsp"
"Shredded mild cheddar cheese by BORDEN",56,g,"0.5 cup"
Servings,4
