Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 pound"
"Salt",3,g,"1/2 tsp"
"Almond flour",28,g,"1/4 cup"
"Oregano, dried",1,g,"1 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Garlic powder",2,g,"1/2 tsp"
"Onion powder",1,g,"1/2 tsp"
"Large egg",101,g,"2 egg"
"Water",44,g,"3 tbsp"
"Oat flour",60,g,"1/2 cup"
"Grated parmesan cheese",30,g,"1/4 cup"
"Thyme, dried",3,g,"1 tbsp"
"Basil, dried",2,g,"1 tbsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1,g,"1/2 tsp"
"Tomato",240,g,"4 Italian tomato"
"Minced garlic",15,g,"1 tbsp"
"Lemon juice",23,g,"1.5 tbsp"
"Parsley, dried",3,g,"2 tbsp"
"Basil, dried",4,g,"2 tbsp"
"Salt",5,g,"3/4 tsp"
Servings,6
