Ingredient,Amount,Unit,Description
"Extra virgin olive oil by QO",7,g,"0.5 tbsp"
"Peppers, raw, red, sweet",222,g,"3 small"
"Turkey, raw, 7% fat, 93% lean, ground",589,g,"1.3 lb"
"Minced garlic by STONEMILL",15,g,"3 tsp"
"Tomato paste by REDPACK",170,g,"6 oz can"
"Water, generic, bottled",178,g,"0.75 cup"
"Dijon mustard by KOOPS'",30,g,"6 tsp"
"Apple cider vinegar by BRAGG",15,g,"1 tbsp (15.0 ml) aprx"
"Spices, paprika",2,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Salt, table",2,g,"0.25 tsp"
Servings,5
