Ingredient,Amount,Unit,Description
"Vital wheat gluten by The King Arthur Flour Company, Inc.",144,g,"16 tbsp"
"Nutritional yeast seasoning by BRAGG",36,g,"4 tbsp"
"Spices, chili powder",5,g,"2 tsp"
"Spices, paprika",5,g,"2 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Salt, table",3,g,"0.5 tsp"
"Low sodium vegetable broth by The Hain Celestial Group, Inc.",180,g,"0.75 cup (240.0 ml) aprx"
"Soy sauce made from soy and wheat (shoyu), low sodium",28,g,"2 tbsp"
"Water, generic, bottled",948,g,"4 cup"
Servings,4
