Ingredient,Amount,Unit,Description
"Coconut flour",90,g,"3/4 cup"
"Cinnamon",3,g,"1 tsp"
"Baking powder",3,g,"1/2 tsp"
"Salt",1.5,g,"1/4 tsp"
"Vanilla extract",5,g,"1 tsp"
"Liquid monk fruit",5,g,"1 tsp"
"Unsweetened applesauce",240,g,"1 cup"
"Carob powder",60,g,"3/4 cup"
"Powdered peanut butter",48,g,"1/2 cup"
"Cinnamon",3,g,"1 tsp"
"Salt",1.5,g,"1/4 tsp"
"Vanilla extract",5,g,"1 tsp"
"Liquid monk fruit",5,g,"1 tsp"
"Unsweetened applesauce",240,g,"1 cup"
"Peanuts",56,g,"1/3 cup, chopped"
Servings,9
