Ingredient,Amount,Unit,Description
"Water",80,g,"1/3 cup"
"Dates",80,g,"1/2 cup, about 12 deglet noor or 4 medjool"
"Almond butter",128,g,"1/2 cup"
"Quick oats",80,g,"1 cup"
"Unsweetened coconut flakes",80,g,"2/3 cup"
"Ground flaxseed",70,g,"1/2 cup"
"Chia seeds",12,g,"1 tbsp"
"Vanilla extract",5,g,"1/2 tsp"
"Cinnamon",5,g,"2 tsp"
Servings,30
