Ingredient,Amount,Unit,Description
"Oat flour",270,g,"3 cup"
"Almond flour",112,g,"1 cup"
"Cocoa powder",90,g,"1 cup + 2 tbsp"
"Baking powder",18,g,"1 tbsp"
"Baking soda",6,g,"1 tsp"
"Salt",1.5,g,"1/4 tsp"
"Unsweetened applesauce",360,g,"1 1/2 cup"
"Honey",336,g,"1 cup"
"Unsweetened almond milk",240,g,"1 cup"
"Apple cider vinegar",22.5,g,"1 1/2 tbsp"
"Vanilla extract",7.5,g,"1/2 tbsp"
"Almond butter",32,g,"2 tbsp"
"Cocoa powder",25,g,"5 tbsp"
"Vanilla extract",5,g,"1 tsp"
"Honey",168,g,"1/2 cup"
"Pecans",125,g,"1 cup, chopped"
"Unsweetened coconut flakes",60,g,"1/2 cup"
"Vanilla extract",5,g,"1 tsp"
"Honey",168,g,"1/2 cup"
Servings,16
