Ingredient,Amount,Unit,Description
"Onion",300,g,"2 large"
"Bell pepper",600,g,"5 medium"
"Ginger, fresh",28,g,"1 oz"
"Minced garlic",30,g,"2 tbsp"
"Coconut milk, full fat",810,g,"2 x 13.5 oz can"
"Boneless skinless chicken breast",908,g,"2 lb"
"Powdered peanut butter",96,g,"1 cup"
"Soy sauce, low sodium, gluten free",60,g,"1/4 cup"
"Liquid monk fruit",5,g,"1 tsp"
"Paprika",20,g,"2 tbsp"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",10,g,"1 tbsp"
"Black pepper, ground",6,g,"2 tsp"
"Coriander, ground",4,g,"2 tsp"
"Ginger, ground",4,g,"2 tsp"
"Cumin, ground",6,g,"2 tsp"
"Lime juice",60,g,"1/4 cup"
Servings,6
