Ingredient,Amount,Unit,Description
"Applesauce, unsweetened",61,g,"0.25 cup"
"Honey",32,g,"1.5 tbsp"
"Vanilla extract",4,g,"1 tsp"
"Sugar substitute, liquid, stevia",3,g,"0.5 teaspoon"
"Table salt by FIRST STREET",2,g,"0.25 tsp | about"
"Unflavored Casein Protein Powder by PROMIX",58,g,"2 serving"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",60,g,"0.25 cup (240.0 ml) aprx"
"Oil, coconut",14,g,"1 tbsp"
"Cocoa, unsweetened, dry powder",16,g,"3 tbsp"
"Stevia zero calorie liquid sweetener by PURE VIA",1,g,"0.25 tsp (1.0 ml) aprx"
"Raw pure honey",6,g,"0.33 tbsp"
"Salt, table",0,g,"0.5 dash"
Servings,12
