Ingredient,Amount,Unit,Description
"Peanuts",454,g,"3 cups"
"Banana, overripe",454,g,"4 large"
"Chickpeas, drained and rinsed",454,g,"3 cups"
"Plain nonfat greek yogurt",454,g,"2 cups"
"Vanilla extract",10,g,"2 tsp"
"Salt",6,g,"1 tsp"
Servings,24
