Ingredient,Amount,Unit,Description
"Extra virgin olive oil by QO",28,g,"2 tbsp (15.0 ml) aprx"
"Onions, raw",70,g,"1 small"
"Minced garlic by STONEMILL",25,g,"5 tsp"
"Salt, table",6,g,"1 tsp"
"Peppers, raw, red, sweet",74,g,"1 small"
"Tomatoes, canned, crushed",1588,g,"56 ounce"
"Spices, dried, basil",6,g,"9 tsp, leaves"
"Spices, garlic powder",9,g,"3 tsp"
"Spices, onion powder",7,g,"3 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Squash, raw, includes skin, zucchini, summer",196,g,"1 medium"
"Summer squash, raw, yellow",200,g,"1 whole"
"Eggplant, raw",548,g,"1 eggplant, unpeeled (approx 1-1/4 lb)"
"Tomatoes, raw",180,g,"3 Italian tomato"
Servings,4
