Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",908,g,"2 lb"
"Salt",6,g,"1 tsp"
"Almond flour",28,g,"1/4 cup"
"Oregano, dried",1,g,"1 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Garlic powder",1.5,g,"1/2 tsp"
"Onion powder",1.5,g,"1/2 tsp"
"Egg",50,g,"1 large"
"Water",45,g,"3 tbsp"
"Oat flour",60,g,"2/3 cup"
"Grated parmesan cheese",30,g,"1/4 cup"
"Basil, dried",3,g,"1 tbsp"
"Thyme, dried",3,g,"1 tbsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Simple pasta sauce",120,g,"1/2 cup"
"Shredded mozzarella cheese, low moisture part skim",85,g,"3/4 cup"
Servings,6
