Ingredient,Amount,Unit,Description
"Fat free evaporated milk",340,g,"12 oz can"
"Maple syrup",80,g,"4 tbsp"
"Vanilla extract",5,g,"1 tsp"
"Oat flour",90,g,"1 cup"
"Coconut flour",14,g,"2 tbsp"
"Cinnamon",1.5,g,"1/2 tsp"
"Salt",1.5,g,"1/4 tsp"
"Extra virgin coconut oil",41,g,"3 tbsp, melted"
"Maple syrup",20,g,"1 tbsp"
"Cocoa powder",40,g,"1/2 cup"
"Extra virgin coconut oil",41,g,"3 tbsp, melted"
"Allulose",50,g,"1/4 cup"
"Almonds",70,g,"1/2 cup"
"Cashews",70,g,"1/2 cup"
"Unsweetened coconut flakes",20,g,"4 tbsp"
Servings,16
