Ingredient,Amount,Unit,Description
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Bell pepper",360,g,"3 medium"
"Onion",330,g,"3 medium"
"Salt",9,g,"1/2 tbsp"
"Minced garlic",45,g,"3 tbsp"
"Chili powder",36,g,"1/4 cup"
"Cumin, ground",10,g,"1 tbsp"
"Oregano, dried",3,g,"1 tbsp"
"Soy sauce, low sodium, gluten free",60,g,"4 tbsp"
"Crushed tomatoes",794,g,"28oz can"
"Diced tomatoes",411,g,"14.5 oz can"
"Beans, drained and rinsed",516,g,"2 x 15.5 oz can"
"Tahini, or any other nut/seed butter",48,g,"3 tbsp"
"Beans, NOT drained or rinsed",439,g,"15.5 oz can"
"Lime juice",30,g,"2 tbsp"
Servings,6
