Ingredient,Amount,Unit,Description
"Sweet potato, unprepared, raw",600,g,"3 medium"
"Extra virgin olive oil by QO",5,g,"1 tsp"
"Salt, table",0.5,g,"Small pinch"
"Peppers, raw, red, sweet",238,g,"2 medium"
"Extra virgin olive oil by OLIO",5,g,"1 tsp"
"Salt, table",0.5,g,"Small pinch"
"Chickpeas (garbanzo beans, bengal gram), rinsed in tap water, drained, canned, mature seeds",254,g,"15.5oz can"
"Tomatoes, raw",120,g,"2 Italian tomato"
"Cucumber, raw, with peel",301,g,"1 English"
"Spinach, raw",60,g,"2 cup"
"Cheese, feta",113,g,"3/4 cup, crumbled"
"Nuts, dried, pine nuts",28,g,"1/4 cup"
"Apple cider vinegar by BRAGG",60,g,"4 tbsp"
"Lemon juice from concentrate, REAL LEMON, bottled",30,g,"2 tbsp"
"Extra virgin olive oil by BRAGG",28,g,"2 tbsp"
"Vinegar, balsamic",15,g,"1 tbsp"
"Dijon mustard by SPARTAN",15,g,"1 tbsp"
"Minced garlic by MEMBER'S MARK",15,g,"1 tbsp"
"Spices, dried, basil",2.4,g,"1 tbsp, leaves"
"Spices, dried, thyme",3.2,g,"1 tbsp, leaves"
"Spices, dried, oregano",2.5,g,"1 tbsp, leaves"
"Spices, garlic powder",6,g,"2 tsp"
"Spices, onion powder",6,g,"2 tsp"
"Lemon pepper by LA CRIOLLA",8,g,"2 tsp"
"Extra hot red pepper flakes by DOC MEYERS BRAND",0.5,g,"1/2 tsp"
Servings,6
