Ingredient,Amount,Unit,Description
"Spinach, unprepared, chopped or leaf, frozen",454,g,"1 pound"
"Onions, raw",70,g,"1 small"
"Hot sauce by LOUISIANA",60,g,"12 tsp (5.0 ml) aprx"
"Minced garlic by STONEMILL",45,g,"9 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, paprika",2,g,"1 tsp"
"Spices, chili powder",3,g,"1 tsp"
"Spices, black, pepper",1,g,"0.5 tsp, ground"
"Salt, table",2,g,"0.25 tsp"
"Eggs, egg whole, Large, Grade A",302,g,"6 egg"
"Shredded mozzarella cheese by ROUNDY'S",84,g,"0.75 cup"
"Salsa",168,g,"12 tbsp"
"Whole wheat protein tortillas by La Tortilla Factory Inc",300,g,"6 tortilla"
Servings,6
