Ingredient,Amount,Unit,Description
"Water",360,g,"1.5 cup"
"Dry Yeast",10,g,"1 tbsp"
"Salt",8,g,"1.25 tsp"
"Extra virgin olive oil",9,g,"2 tsp"
"White vinegar",5,g,"1 tsp"
"Vital wheat gluten",80,g,"9 tbsp"
"Whole wheat flour",420,g,"3.5 cup"
Servings,22
