Ingredient,Amount,Unit,Description
"Water",250,g,"1 cup"
"Dry Yeast",2,g,"1/2 tsp"
"Whole wheat flour",300,g,"2.5 cup"
"Vital wheat gluten",30,g,"1/4 cup"
"Salt",5,g,"3/4 tsp"
"Honey",5,g,"1 tsp"
"Extra virgin olive oil",5,g,"1 tsp"
"Unsweetened tomato sauce",123,g,"1/2 cup"
"Shredded mozzarella cheese",113,g,"4 oz"
Servings,4
