Ingredient,Amount,Unit,Description
"Frozen broccoli, thawed",907,g,"2 lb"
"Lemon juice",30,g,"2 tbsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Red lentil pasta",246,g,"8.8 oz"
"Ground turkey, 93/7",589,g,"1.3 lb"
"Basil, dried",3,g,"1 tbsp"
"Oregano, dried",3,g,"1 tbsp"
"Thyme, dried",3,g,"1 tbsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Lemon juice",30,g,"2 tbsp"
"Frozen spinach, thawed",113,g,"4 oz"
"Goat cheese",57,g,"2 oz"
"Minced garlic",30,g,"2 tbsp"
"Lemon juice",30,g,"2 tbsp"
"Extra virgin olive oil",15,g,"1 tbsp"
"Garlic powder",3,g,"1 tsp"
"Onion powder",3,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
Servings,5
