Ingredient,Amount,Unit,Description
"Onion",340,g,"3 medium"
"Carrots",227,g,"3 large"
"Chicken thighs, bone in, skin on",1135,g,"6 thighs, about 2.5 lbs"
"Salt",18,g,"1 tbsp"
"Black pepper, ground",10,g,"1 tbsp"
"Water",1920,g,"8 cup, just enough to cover everything"
Servings,1
