Ingredient,Amount,Unit,Description
"Red split lentils",192,g,"1 cup"
"Water",480,g,"2 cup"
"Chicken bouillon powder",4.5,g,"1 tsp"
"Frozen spinach, thawed",907,g,"2 lb"
"Extra virgin olive oil",5,g,"1 tsp"
"Garlic powder",9,g,"1 tbsp"
"Onion powder",7,g,"1 tbsp"
"Cumin, ground",6,g,"2 tsp"
"Lemon pepper",6,g,"2 tsp"
"Ground beef, 93/7",590,g,"1.3 lb"
"Extra virgin olive oil",5,g,"1 tsp"
"Low sodium soy sauce",28,g,"2 tbsp"
"Minced garlic",30,g,"2 tbsp"
"Allspice, ground",4,g,"2 tsp"
"Cinnamon",1,g,"1/2 tsp"
"Nutmeg, ground",1,g,"1/2 tsp"
"Cloves, ground",1,g,"1/4 tsp"
"Salt",1.5,g,"1/4 tsp"
"Pumpkin seeds",57,g,"2 oz"
Servings,4
