Ingredient,Amount,Unit,Description
"Onion",220,g,"2 medium"
"Bell pepper",480,g,"4 medium"
"Salt",3,g,"1/2 tsp"
"Boneless skinless chicken breast",907,g,"2 lb"
"Lemon juice",30,g,"2 tbsp"
"Paprika",6,g,"2 tsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",6,g,"2 tsp"
"Salt",3,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Minced garlic",15,g,"1 tbsp"
"Tomato paste, canned",170,g,"6 oz can"
"Chili powder",10,g,"1 tbsp"
"Paprika",10,g,"1 tbsp"
"Ginger, ground",2,g,"1 tsp"
"Cumin, ground",3,g,"1 tsp"
"Cayenne pepper",1.5,g,"1/2 tsp"
"Water",480,g,"2 cup"
"Chicken bouillon powder",8,g,"2 tsp"
"Natural peanut butter",128,g,"1/2 cup"
Servings,6
