Ingredient,Amount,Unit,Description
"Mustard seeds by DEEP",99,g,"3.5 ounce"
"White wine vinegar by CIRIO",240,g,"16 tbsp (15.0 ml) aprx"
"White cooking wine by HOLLAND HOUSE",160,g,"10.66 tbsp (30.0 ml) aprx"
"Salt, table",6,g,"1 tsp"
Servings,100
