Ingredient,Amount,Unit,Description
"Water",720,g,"3 cup"
"Salt",6,g,"1 tsp"
"Farro",270,g,"1 1/2 cup"
"Frozen broccoli, thawed",1361,g,"3 lb"
"Lemon juice",30,g,"2 tbsp"
"Extra virgin olive oil",10,g,"2 tsp"
"Lemon pepper",13,g,"1 tbsp"
"Garlic powder",10,g,"1 tbsp"
"Onion powder",10,g,"1 tbsp"
"Black pepper, ground",10,g,"1 tbsp"
"Boneless skinless chicken breast",907,g,"2 lb"
"Apple cider vinegar",60,g,"1/4 cup"
"Extra virgin olive oil",10,g,"2 tsp"
"Garlic powder",20,g,"2 tbsp"
"Onion powder",20,g,"2 tbsp"
"Black pepper, ground",10,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Goat cheese",170,g,"6 oz"
Servings,6
