Ingredient,Amount,Unit,Description
"Granulated sugar",400,g,"2 cup"
"All purpose flour",210,g,"1 3/4 cup"
"Cocoa powder",65,g,"13 tbsp"
"Baking powder",9,g,"1/2 tbsp"
"Baking soda",9,g,"1/2 tbsp"
"Salt",6,g,"1 tsp"
"Egg",100,g,"2 large"
"Buttermilk",240,g,"1 cup"
"Canola oil",112,g,"1/2 cup"
"Vanilla extract",10,g,"2 tsp"
"Water",240,g,"1 cup"
"Brown sugar",100,g,"1/2 cup"
"Granulated sugar",100,g,"1/2 cup"
"Unsalted butter",112,g,"1/2 cup"
"Egg yolk",51,g,"3 large"
"Evaporated milk",180,g,"3/4 cup"
"Vanilla extract",5,g,"1 tsp"
"Pecans",113,g,"1 cup"
"Sweetened coconut flakes",120,g,"1 cup"
"Salted butter",112,g,"1/2 cup"
"Cocoa powder",53,g,"2/3 cup"
"Powdered sugar",360,g,"3 cup"
"Evaporated milk",80,g,"1/3 cup"
"Vanilla extract",5,g,"1 tsp"
Servings,16
