Ingredient,Amount,Unit,Description
"Eggplant",908,g,"2 medium"
"Salt",6,g,"1 tsp"
"Black pepper, ground",3,g,"1 tsp"
"Extra virgin olive oil",15,g,"1 tbsp"
"Onion",150,g,"1 medium"
"Bell pepper",150,g,"1 medium"
"Celery",100,g,"2 stalks"
"Extra virgin olive oil",15,g,"1 tbsp"
"Salt",6,g,"1 tsp"
"Pine nuts",60,g,"1/2 cup"
"Unsweetened tomato sauce",425,g,"15 oz"
"Red wine vinegar",120,g,"1/2 cup"
"Minced garlic",60,g,"1/4 cup"
"Raisins",40,g,"1/4 cup"
"Olives",40,g,"1/4 cup"
"Capers",15,g,"2 tbsp"
"Basil, dried",6,g,"2 tbsp"
"Thyme, dried",6,g,"2 tbsp"
"Oregano, dried",6,g,"2 tbsp"
"Red pepper flakes",0.5,g,"1/2 tsp"
Servings,4
