Ingredient,Amount,Unit,Description
"Yogurt, plain, nonfat milk, Greek",245,g,"1 cup"
"Nonfat cottage cheese by FRESH & EASY",226,g,"1 cup"
"Spinach, unprepared, chopped or leaf, frozen",227,g,"0.5 pound"
"Artichoke hearts by MATIZ",397,g,"14 ounce"
"Cheese, shredded, part-skim, low moisture, mozzarella",57,g,"0.66 cup"
"Minced garlic by STONEMILL",20,g,"4 tsp"
"Spices, garlic powder",3,g,"1 tsp"
"Spices, onion powder",2,g,"1 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Salt, table",3,g,"0.5 tsp"
"Kraft Grated Parmesan Cheese",15,g,"6 teaspoons"
Servings,10
