Ingredient,Amount,Unit,Description
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"1 can drained"
"Bananas, raw, overripe",440,g,"4 Banana"
"Yogurt, plain, nonfat milk, Greek",123,g,"0.5 cup"
"Natural peanut butter by HAMPTON FARMS",64,g,"4 tbsp"
"Honey",21,g,"1 tbsp"
"Baking powder by The Kroger Co.",19,g,"4 tsp"
"Vanilla extract",8,g,"2 tsp"
"Sugar substitute, liquid, stevia",10,g,"2 teaspoon"
"Pure almond extract by FIRST STREET",5,g,"1 tsp (1.2 ml) aprx"
"Salt, table",2,g,"0.25 tsp"
"Cocoa, unsweetened, dry powder",49,g,"9 tbsp"
"Peanut butter powder by PBFIT",60,g,"10 tbsp"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",29,g,"1 scoop | about"
"Unflavored Casein Protein Powder by PROMIX",29,g,"1 serving"
Servings,24
