Ingredient,Amount,Unit,Description
"Bananas, raw, overripe",330,g,"3 Banana"
"Oat flour by Bob's Red Mill Natural Foods, Inc.",90,g,"3 1/4 cup"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",58,g,"2 scoop | about"
"Peanut butter powder by PBFIT",60,g,"10 tbsp"
"Chia seed by NO BRAND",34,g,"3 tbsp"
"Natural peanut butter by HAMPTON FARMS",32,g,"2 tbsp"
"Baking powder by The Kroger Co.",10,g,"2 tsp"
"Spices, ground, cinnamon",5,g,"2 tsp"
"Sugar substitute, liquid, stevia",5,g,"1 teaspoon"
"Leavening agents, baking soda",5,g,"1 tsp"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",240,g,"1 cup (240.0 ml) aprx"
Servings,13
